parent,child
skiing,"{' enjoy skiing', ' varsity alpine skiing', 'skiing', 's', ' alpine skiing', ' competitive skiing', ' ', 'skiing ', ' free ride skiing', 'freestyle skiing', ' water skiing', ' skiing young', ' skiing favorite things face earth,', ' darien skiing', ' love skiing', 'i', 'g', ' ski team park skiing', ' skiing ', ' skiing', 'n', ' downhill skiing snowboarding club joined', ' freestyle skiing', 'k'}"
hiking,"{' hiking', 'h', ' hiking club', 'hiking', 'i', ' ', 'g', ' cu hiking club', 'n', ' hiking ', 'k'}"
swim,"{'westfield swim team,', 'club swim', 'v', '4 year varsity member swim team member', ' swim team captain ', 's', 'varsity swim', 'a', ' varsity swim 3 years', ' ', 'swim team', ' 3 years varsity swim', ' varsity swim', ' highschool swim', 'r', 'i', ' year member cu swim', 'swim', 'y', ' swim', ' swim team 4 years school', ' swim team', 'm', '3', 'w', 'e', ' swim coaching', 'varsity swim team ', ' swim team ', 't'}"
wrestling,"{'v', 'wrestling senior year', 'varsity wrestling', ' wrestling captain', ' wrestling ', ' wrestling team', 'wrestling football entrepreneurship', ' varsity wrestling 2018 heavyweight', 's', 'a', ' wrestling highschool', ' ', 'l', 'r', '2', 'i', 'g', ' 2 years varsity wrestling', 'y', ' wrestling', ' varsity wrestling', 'w', 'wrestling', 'e', '3x varsity wrestling team captain', 'n', 't'}"
band,"{'h', '1', 'd', 'marching band', 'a', 'b', ' ', ' current rock band member', '41 jazz band', ' band', ' played guitar band 2 years', 'r', 'i', 'g', ' concert band', 'y', ' jazz band', ' rock band', ' concert band majors', ' played bass guitar band', 'm', ' member band guitar', 'c', 'band', 'e', 'n'}"
work,"{'h', ' volunteer work local church', 'highschool lot charity work including haiti week', ' workvolunteer work', 'a', 'b', 'p', ' worked guide dogs blind 10 years raising dogs work blind individuals', ' work', ' work multiple establishments', ' ', ' volunteer work', ' manna volunteer work', ' work umc bike station', 'r', 'g', 'y', 'o', ' homeless volunteer work ', 'w', 'e', 'n', 'k', 't'}"
film,"{' film', 'm', ' led practices; coached games; reviewed game film', ' head film varsity football team', 'i', ' ', 'honors film', 'l', 'f', ' film club', ' film production'}"
baseball,"{'baseball team,', 'years varsity baseball', ' baseball junior', ' youth baseball coach', 'rec baseball', 's', ' varsity baseball', ' baseball school', 'baseball team', 'baseball hs,', 'varsity baseball ', ' jv baseball ', 'a', 'b', ' varsity baseball catcher3rd baseman ', 'play baseball', ' baseball team', 'played baseball school', ' ', 'jv baseball', ' baseball ', 'l', ' club baseball', ' played baseball', 'lead coordinator organization helps kids disabilities play baseball', 'college baseball', ' ncaa baseball', ' travel tournament baseball', ' baseball freshmen year', 'baseball', ' 4 years volunteering special baseball', ' baseball umpire', 'participated baseball', ' league baseball coach', ' varsity baseball team', 'baseball ', 'played baseball', 'season baseball', 'played baseball basketball', 'baseball 4 years', 'baseball mountain vista', 'nnhs varsity baseball', ' played baseball freshman', '4 year varsity baseball ', 'varsity baseball captain', 'varsity baseball', ' baseball', ' challenger baseball', 'e', ' alson played baseball', ' baseball highschool', 'football basketball baseball golf', 'played baseball school,'}"
deca,"{' deca business', ' deca 4 years', ' deca club', 'd', ' deca', 'a', ' ', ' deca business club', 'deca business club', ' deca ', 'participated deca school', ' loveland deca', 'deca model enviromental club tennis xc', 'deca', ' member deca', ' vice president deca', 'c', ' participated deca', 'e'}"
school,"{'school', ' presidentfounder spikeball club school', ' community service crew called ymsl school', 'played hockey school', 'h', ' 1 year school', 'leader years fca school', ' hosted events school', ' tennis school', ' basketball junior year school', ' scout nation club support teams school', 'played soccer school', 'golf school', ' tutored english school', ' slotted join track team d3 school', ' junior year school', ' field school', 'club basketball school', 'varsity soccer school', 's', 'played lacrosse 4 years school', ' baseball school', ' lacrosse school', ' wrestled school', ' golf school', 'played baseball school', 'knight crew freshman orientation program school', 'l', ' track years school', ' founder judaism club overland school', 'played football team 4 years school', ' varsity tennis school', ' freshman year school', ' executive producer sports channel school', ' soccer school', ' field middle school', 'cross country school', ' played varsity tennis school', 'participated deca school', 'participated track & field years school', ' cross country school', ' vice president engineering club sophomore year school', 'o', '4 years water polo & 2 years swimming school', ' football school', ' 4 years school', 'soccer school', ' swim team 4 years school', ' kindness lunch scene school', 'played competitive soccer entire life school', 'c', ' vp avid club school', ' golf team  school', ' school'}"
volleyball,"{' club volleyball', ' volleyball pretty play sport', 'v', ' intramural volleyball', ' volleyball', ' volleyball team', 'a', 'b', ' sand volleyball team  club', ' ', 'l', 'club volleyball', ' soccer & volleyball freshman year', 'u', 'y', ' club volleyball ', 'volleyball ', 'o', ' volleyball tournament 4 years', ' volleyball 1 year', 'varsity volleyball 4 years', 'mural volleyball', 'c', 'e', 'varsity volleyball', 'volleyball', 'volleyball team'}"
race,"{'m', 'a', 'b', 'r', ' ski race', 'i', ' ', 'c', 'u', 'e', 'n', 'o', 'k', 't', ' mammoth ski race team'}"
rugby,"{'rugby', ' rugby team', ' cu rugby team', ' varsity rugby', ' boulder rugby club', ' rugby highschool', 'b', ' ', ' rugby club', ' rugby fall freshman year du', 'club rugby cu boulder', ' club rugby castle rock pirates rugby', ' rugby led club created diversity', 'rugby club 4 years', 'varsity rugby', ' rugby', ' south england rugby', 'r', 'g', 'u', 'y', ' rugby cu', ' played rugby year college,', ' saracens academy rugby', ' cu rugby club', ' jv rugby', ' varsity rugby 2016', ' rugby school,'}"
climbing,"{'sport climbing', ' climbing team', ' rock climbing club 2 years', ' rock climbing club', ' •\ttaught climbing', 'b', ' ', 'l', 'r', ' climbing', 'i', 'g', 'competitive rock climbing team 4 years', ' rock climbing', 'o', 'm', ' climbing club', ' climbing gym employee,', ' competed climbing', 'climbing club founder', 'c', 'n', ' founder rock climbing club', 'k'}"
snowboarding,"{'d', 's', ' snowboarding club', 'a', 'b', ' competitive snowboarding', ' ', '  snowboarding', ' love snowboarding', ' snowboarding', 'snowboarding club', 'r', 'i', 'g', ' snowboarding ', 'o', 'cu snowboarding team', 'snowboarding', 'w', 'team snowboarding', 'n', ' downhill skiing snowboarding club joined'}"
student,"{' student council member', ' student council 3 years', ' student body', ' student council ', 'student leadership', ' student council representative', 'v', ' rowdy leader student section,', '  plan actively involved student council offer campus', ' presidentfounder student eats club club advocates inclusion', ' organizes student spirit events', 'd', ' student ambassador,', ' student ambassador', ' student council 2016', 's', ' lphs student government', ' student leadership council', ' ', 'student government', ' secretary treasurer student council', 'involved member student political education club,', ' head shp quad student website', "" buddies; student organization students mentally physically disabled 'high school' experience"", ' student ambassadors', ' president student managed investment fund', 'student council', ' student leader', ' student investment group', ' haiti partnership mission student ambassador', ' federal reserve student board directors 12', ' student govt', ' 2 years student government', ' student government president', 'r', 'g', ' student body leadership', ' student body treasurer ', ' student council president ', 'u', ' involved student government years', ' student library association board', 'student government ', 'student broadcasting sportscaster', 'o', ' student ambassadortour guide,', ' national student leadership conference', ' student body president', ' student store', ' academic student body', 'student council 2017', ' student government completed projects community', 'prefect head student leader campus', 'm', ' student leader sporting events', ' student government ', 'oakland tech scribe student newspaper', ' association student council', ' student council', ' student council president', ' student senate', ' student body 1 year', 'e', ' student pilot', 'n', ' member student government years', 'student senate', "" leader school's student senior year flock leader "", 't', ' student government'}"
